m1,t1,m2,t2,m3,t3,m4,t4,m5,t5,label
1893,27.11,1880,27.02,1883,27.0,1869,26.97,1863,26.94,0
1880,27.02,1883,27.0,1869,26.97,1863,26.94,1967,26.97,0
1883,27.0,1869,26.97,1863,26.94,1967,26.97,1926,27.0,0
1869,26.97,1863,26.94,1967,26.97,1926,27.0,1914,26.96,0
1863,26.94,1967,26.97,1926,27.0,1914,26.96,1913,26.94,0
1967,26.97,1926,27.0,1914,26.96,1913,26.94,1913,26.93,0
1926,27.0,1914,26.96,1913,26.94,1913,26.93,1910,26.92,0
1914,26.96,1913,26.94,1913,26.93,1910,26.92,1917,26.9,0
1913,26.94,1913,26.93,1910,26.92,1917,26.9,1940,26.95,0
1913,26.93,1910,26.92,1917,26.9,1940,26.95,1912,26.99,0
1910,26.92,1917,26.9,1940,26.95,1912,26.99,1927,26.96,0
1917,26.9,1940,26.95,1912,26.99,1927,26.96,1929,26.94,0
1940,26.95,1912,26.99,1927,26.96,1929,26.94,1910,26.9,0
1912,26.99,1927,26.96,1929,26.94,1910,26.9,1917,26.89,0
1927,26.96,1929,26.94,1910,26.9,1917,26.89,1915,26.86,0
1929,26.94,1910,26.9,1917,26.89,1915,26.86,1912,26.86,0
1910,26.9,1917,26.89,1915,26.86,1912,26.86,1908,26.85,0
1917,26.89,1915,26.86,1912,26.86,1908,26.85,1908,26.85,0
1915,26.86,1912,26.86,1908,26.85,1908,26.85,1901,26.86,0
1912,26.86,1908,26.85,1908,26.85,1901,26.86,1903,26.86,0
1908,26.85,1908,26.85,1901,26.86,1903,26.86,1901,26.84,0
1908,26.85,1901,26.86,1903,26.86,1901,26.84,1911,26.85,0
1901,26.86,1903,26.86,1901,26.84,1911,26.85,1912,26.83,0
1903,26.86,1901,26.84,1911,26.85,1912,26.83,1913,26.83,0
1901,26.84,1911,26.85,1912,26.83,1913,26.83,1927,26.84,0
1911,26.85,1912,26.83,1913,26.83,1927,26.84,1925,26.82,0
1912,26.83,1913,26.83,1927,26.84,1925,26.82,1931,26.83,0
1913,26.83,1927,26.84,1925,26.82,1931,26.83,1933,26.82,0
1927,26.84,1925,26.82,1931,26.83,1933,26.82,1935,26.83,0
1925,26.82,1931,26.83,1933,26.82,1935,26.83,1949,26.83,0
1931,26.83,1933,26.82,1935,26.83,1949,26.83,1947,26.83,0
1933,26.82,1935,26.83,1949,26.83,1947,26.83,1951,26.9,0
1935,26.83,1949,26.83,1947,26.83,1951,26.9,1956,26.87,0
1949,26.83,1947,26.83,1951,26.9,1956,26.87,1961,26.85,0
1947,26.83,1951,26.9,1956,26.87,1961,26.85,1971,26.86,0
1951,26.9,1956,26.87,1961,26.85,1971,26.86,1977,26.84,0
1956,26.87,1961,26.85,1971,26.86,1977,26.84,1992,26.83,0
1961,26.85,1971,26.86,1977,26.84,1992,26.83,2003,26.83,0
